Region,16-Apr,16-Mar,16-Feb,16-Jan,15-Dec,15-Nov,15-Oct,15-Sep,15-Aug,15-Jul,15-Jun,15-May,15-Apr,15-Mar,15-Feb,15-Jan,14-Dec,14-Nov,14-Oct,14-Sep,14-Aug,14-Jul,14-Jun,14-May,14-Apr,14-Mar,14-Feb,14-Jan,13-Dec,13-Nov,13-Oct,13-Sep,13-Aug,13-Jul,13-Jun,13-May,13-Apr,13-Mar,13-Feb,13-Jan,12-Dec,12-Nov,12-Oct,12-Sep,12-Aug,12-Jul,12-Jun,12-May,12-Apr,12-Mar,12-Feb,12-Jan,11-Dec,11-Nov,11-Oct,11-Sep,11-Aug,11-Jul,11-Jun,11-May,11-Apr,11-Mar,11-Feb,11-Jan,10-Dec
Jinzhou,99.5,99.6,99.7,99.5,99.7,99.6,99.8,99.8,99.7,99.4,99.8,99.6,99.5,100,98.9,99.1,99.5,99.1,98.6,98.7,98.8,99.8,99.2,99.4,100,100.2,100.4,100.3,100.3,101.2,100.7,100.9,101.4,101,101.2,100.9,100.9,100.3,101.2,100.3,99.8,100.7,99.8,99.9,99.8,100.3,99.8,100,99.9,99.8,100,100,99.9,100.1,100,99.8,99.8,99.9,100.2,100.2,100.8,100.4,100.5,100.8,
Changchun,100.2,100.6,100.3,99.7,99.9,99.8,99.8,99.9,100.2,100.1,99.9,99.7,99.5,99.9,99.7,99.8,99.5,99.4,99.4,98.7,99.2,99.3,99.4,100,100.2,100.4,100.3,100.4,100.4,100.6,100.4,100.6,100.9,100.7,100.9,101,101,100.8,101.1,99.8,100.5,99.7,100.3,100,100.3,100.1,99.8,100,100,99.7,99.8,99.9,99.7,99.7,100,100,100.3,100.3,100.3,100.4,100.5,100.7,99.6,100.4,
Jilin,100.7,100.2,100.3,99.8,99.6,99.8,99.9,99.7,99.9,100.1,99.9,99.7,99.8,99.9,99.4,99.6,99.8,99.7,99.4,98.5,99.3,99.5,99.4,99.5,100.1,100.2,100,100.4,100.3,100.6,100.4,100.6,100.7,100.5,101,101.1,100.5,100.8,100.7,100.7,100,100.5,100,100.1,99.7,100.3,100,100,99.9,99.8,99.9,99.7,99.9,99.9,99.9,100,100.1,100.2,100.1,100.1,100.7,99.5,100,101.7,
Harbin,99.8,100.6,100,99.9,100.2,99.9,100.3,100.2,99.7,100.3,100.1,100,100.1,99.7,99.6,99.4,99.6,99.6,98.8,99.1,99.2,99.3,100.1,100,100,100.2,100,99.9,100.5,100.9,100.8,100.5,100.7,100.4,101.3,100.7,100.9,101,100.9,101.1,100.4,100.6,99.1,100.1,100,100.1,100,99.9,100.2,100.1,99.9,100,99.7,99.7,100,100.1,100,100.1,100.3,100,100.1,100.5,99.4,100.2,
Mudanjiang,100.2,99.8,99.6,99.8,99.8,99.9,99.8,100,99.5,99.8,100,100,99.8,99.8,99.8,99.6,99.4,99.8,99.4,99.6,99,100,99.9,100,100.1,100,99.9,100,100.5,100.4,100,100.5,100.2,100.3,100.6,100.7,101.1,100.9,100.8,100,99.9,100.4,100,99.8,99.8,100.1,100.1,100,99.7,100,99.9,100,100,100,99.9,100,99.8,100.2,100.1,100.3,99.4,100,100.7,101.5,
Shanghai,103.1,103.6,102.4,102.2,101.9,101.6,101.8,101.6,101.3,101.6,102,102.2,100.6,100,99.9,100,99.7,99.6,99.4,99.1,98.9,98.8,99.4,99.7,100.3,100.4,100.4,100.5,100.6,100.6,100.7,101.4,101.5,101.6,101.8,101.4,101.7,102.7,101.9,101.1,100.6,100.2,100,100,100,100,100.2,99.9,99.8,99.8,99.8,99.9,99.7,99.7,99.8,100,100,100,100.1,100.2,100.3,100.2,100.9,100.9,
Nanjing,104.1,103.3,102.6,102.4,100.9,101.1,101,100.5,100.9,100.8,100.4,100.3,100.2,100.2,99.8,100,99.9,100,99.6,99.3,99,99.2,99.5,100.2,100.3,100.4,100.3,100.3,100.5,100.5,100.7,100.8,100.7,100.7,100.9,101,101.4,101.5,101.5,100.9,100.6,100.2,100.1,100.1,100.2,100.4,100.2,100,99.9,99.8,99.9,99.6,99.5,99.5,99.6,99.9,99.8,99.9,99.9,100,99.9,100.5,100.5,100.7,
Wuxi,102.8,102,100.3,100.3,99.7,100.2,99.9,100.1,100,99.8,100,100.1,99.9,99.8,99.7,99.4,99.8,99.4,99.6,99.5,99.3,99.4,99.2,99.3,99.8,100,100.2,100.3,100.2,100.4,100.5,100.5,100.2,100.3,100,100.5,100.5,101.3,100.6,99.9,99.9,100.1,99.9,100,100.5,100.3,100,100,100,99.7,99.9,99.8,99.9,99.5,99.8,100,99.9,99.9,100,99.4,100.5,100.8,99.9,100.8,
Xuzhou,100.9,100.6,100.3,100,99.9,100,100,100.2,100.1,100,99.8,100,100.2,100.1,99.6,99.6,99.8,99.4,99.5,99.3,98.6,99.9,99.6,99.3,100,100.2,100.2,100,100.4,100.4,100.8,100.7,100.9,100.9,100.8,101,100.9,101.4,101,100.8,100,100.3,99.9,99.9,99.9,100.3,100,99.9,99.9,99.6,99.9,99.9,99.6,99.5,99.8,100,100,100.1,100,100.4,100.6,100.9,100.4,101,
Yangzhou,100.4,100.4,100.2,100.2,100.4,100,100.2,100,100.1,100,99.9,99.7,99.9,99.9,99.6,99.4,99.7,99.6,98.9,99.3,98.5,98.3,99.7,99.8,100.1,100.4,100.3,100.6,100.3,100.8,101.2,100.4,100.5,100,100.8,100.8,101.1,100.5,100.6,99.8,100.7,99.9,100,99.9,100,100.1,100,99.9,100,99.9,99.9,99.8,99.8,99.7,99.8,100,100.1,99.9,100,100,100.1,100.9,100.8,101,
Hangzhou,103,102.3,101.3,100.9,101.1,100.6,100.6,100.6,100.6,100.8,101.3,100.5,100.4,99.6,99.7,99.7,99.7,99.6,99.6,98.8,98,97.6,98.3,98.6,99.3,100,100,99.9,100.1,100.5,100.8,101.2,101.1,100.7,101,100.8,101.4,101.2,100.9,100.9,100.3,99.9,99.7,100.3,100.3,100.3,100.6,99.4,96.6,95.6,99.7,99.9,99.3,99.7,99.6,99.9,100,99.9,100,100,100.1,99.9,100.8,101.6,
Ningbo,101.1,101.6,100.6,100.5,100.3,100.5,100.3,100.4,100.5,100.7,100.5,100.6,100.2,99.9,99.7,99.8,99.6,99.6,99.5,99.5,99.3,98.6,98.5,99.4,99.8,100,100.3,100.4,100.5,100.5,100.4,100.9,100.7,99.9,100.8,100.7,100.6,100.2,101.2,100.6,100,100,99.7,99.8,99.6,99.4,99.7,98.4,97.9,98.4,99.9,99.8,99.5,99.4,99.6,99.9,100,99.7,100.1,100.3,100.4,99.4,100.4,100.1,
Wenzhou,100.4,100.5,100.1,100,100.5,100.4,100.2,100.3,100.2,100.2,100.4,100.2,100.6,99.8,99.4,99.4,99.6,99.5,99.2,99.4,100,100,99.7,100,99.9,99.9,99.8,98.6,98.4,99.5,99.9,99.7,99.9,99.6,100.2,100.4,100,99.9,99.6,100,100,99.2,99.6,99.2,99.6,99.2,99.4,98.2,96.4,98.9,99.5,99.4,98.1,100,95.4,98.7,100,100.1,100.2,100.4,100,100,100,100.1,
Jinhua,100.4,100.4,100,100.1,100.4,100.3,100.4,100.3,100.4,100.1,100.2,100.3,100.4,99.7,99.4,99.6,99.6,99.8,99.5,99.4,98.3,99.2,99.4,99.5,99.6,100.1,100.4,100.3,100.2,100,100.2,100.9,101.1,101.1,100.3,101,100.4,100.8,100.2,100.4,100.9,100.3,100,99.7,99,100,99.5,99.7,99.5,95.4,99.9,99.8,99.7,100,100,100,100,100.1,100.1,100.1,100.2,100.8,100.2,100,
Hefei,105.7,104.6,102.3,101.5,100.5,100.5,100.4,100,100,100.4,100.1,100.1,100,99.8,99.7,99.8,99.9,100,99.8,98.9,99.4,99.3,99.6,100,100.2,100.2,100.4,100.5,101.1,101.1,100.5,100.5,100.6,100.9,100.7,100.8,100.8,100.7,101.1,100.6,100.4,100.3,100.3,100,100.1,100.2,99.9,100,99.9,99.8,99.9,99.9,99.6,99.8,99.9,100,100,100.1,100,99.7,100.4,100,100.5,100.3,
Bengbu,100.8,100.9,99.8,99.7,99.7,99.8,100.3,99.6,99.7,99.4,99.7,99.8,99.7,99.2,99.3,99.5,99.6,99.3,98.8,98.1,99.1,99.4,99.5,99.6,100.1,100.1,100.2,100.4,100,100.2,100.6,100.7,100.5,100,100.4,100.6,100.2,100.5,100.4,100.4,100.3,100,100,99.9,100,100,100,100,99.9,99.9,99.8,100,99.7,99.9,100,100,100,100,100,100,100.2,100.6,101,100.1,
Anqing,100.5,100.9,99.5,100.1,99.9,99.9,99.9,99.9,99.7,100.5,99.9,100,99.9,100,99.6,99.8,99.5,99.1,99.3,98.7,98.9,99.2,99.7,99.8,99.8,100,99.9,100.4,100.2,100.5,100.7,100.6,100.6,99.9,100.5,100.6,100.3,101,100.6,99.8,100.1,100.3,100.1,100,100,100.3,99.9,99.9,100,99.9,99.8,99.7,99.7,99.9,100,99.9,100,100.1,100,99.8,99.9,99.9,100,100,
Fuzhou,102.9,102,101.4,101.1,101,100.9,100.3,100.3,100.1,100.2,100.4,100,99.9,100,99.3,99.5,99.8,99.6,99,98.2,98.8,98.5,99.3,99.9,100,100.3,100.4,100.8,100.5,101.3,100.4,101,100.5,100.6,102.4,100.4,101.6,101.3,101.8,100.8,101.1,100.2,99.9,100,100.3,100.7,100,99.8,100,99.8,99.8,99.8,99.9,99.9,100,100.1,100.1,100,99.9,99.9,100.5,100.3,101.5,100.7,
Xiamen,105.2,105.3,101.3,102,101.3,101.2,101.3,100.9,100.6,100.4,100.3,100.1,100.2,100.2,99.9,99.9,99.5,99.6,99.5,100,100.2,100.2,100.1,100.2,100.4,100.6,100.7,101.2,100.3,100.3,100.5,101.4,101,102.1,101.6,101.3,101.7,102,101.6,101.5,100.5,100.2,100.1,100.1,100.1,100.4,100.1,99.8,99.9,99.8,99.8,99.9,99.8,99.8,100,100,100,100,99.9,100,100.4,100.3,101.4,101.5,
Quanzhou,100.9,100.6,100.3,99.8,100.2,100,100.3,100,100,99.9,99.8,99.9,99.8,99.9,99.4,98.4,99.5,98.8,99.3,98.6,99,98.8,99,99.9,100,100.1,100.6,100.5,100.6,100.4,100.5,101.2,100.5,100.9,100.4,100.6,101.5,100,100.7,100.5,100.1,99.9,100,100,99.9,100.3,99.9,99.8,99.9,99.7,99.9,99.9,100,99.9,100,100.1,100,100.1,100,100,100.2,100.6,100.5,100.2,
Nanchang,101.4,101.5,101.2,100,100.6,100.4,100.4,100.4,100.2,100,100.2,100.2,100,99.8,99.4,100,99.7,99.6,98.9,98.9,98.7,99.1,99.5,99.8,100,100.1,100.3,100.2,100.5,100.3,100.6,100.9,100.6,100.4,101.1,100.9,100.7,101.6,101.5,100.3,100.5,100,100.2,100.2,100.4,100.4,100.2,100.2,99.3,100,100,99.8,99.5,99.5,99.7,99.9,100,100,100.2,100.3,100.2,100,101,101.8,
Jiujiang,101,100.7,100.3,100.1,100.3,99.9,99.7,99.6,99.9,100,99.7,100.3,99.8,99.8,99.6,99,99.7,99.7,99.4,98.8,99.1,99.2,99.3,99.8,100,100.2,100,100.3,100.5,100.8,100.7,100,100.5,99.9,100.6,101.2,100.4,100.6,100.9,100.4,100.4,100.2,100,100,99.9,100.1,100,99.9,99.8,100.1,99.9,99.8,99.4,99.5,99.6,100,100.1,99.9,99.9,99.8,100.7,100.9,100.6,100,
Ganzhou,101.2,100.9,100.1,100.3,100.4,99.8,99.6,99.3,100.7,100.2,99.8,99.6,99.9,99.7,100.1,100.2,100,99.4,99.2,98.4,98.8,98.9,99.2,99.8,99.7,100.1,100.3,100.6,100.2,100.8,100.9,100.8,100.7,101,99.9,100.4,100.5,101.6,101.2,100.9,100.4,100.1,99.9,99.8,99.9,100,99.9,100,100,100,99.8,100,100,99.9,100,100.1,99.7,100,100,99.8,99.8,99.1,100.1,101,
Ji''Nan,101.1,100.9,100.6,100.2,100.3,100.2,100.4,100.2,100.2,99.8,100.1,100.3,100,99.8,99.8,99.7,99.7,99.6,99.5,99.3,98.7,98.8,99.3,99.6,100,100.4,100.5,100.4,100.5,100.6,100.5,100.6,101,101,100.5,100.6,101.1,100.9,100.9,100.8,100.4,100.1,100.1,100.1,100.2,100.2,100,99.9,99.4,99.8,100.1,99.9,99.7,99.8,99.5,100.1,99.6,100,100.3,100.2,100.5,100.5,100.4,100.2,
Qingdao,101.2,101.1,100.1,100.3,100.3,99.8,99.9,99.9,100,100.2,100.1,99.9,99.7,99.4,99.3,99.4,99.1,99,98.6,98.6,99,98.8,99.4,99.9,100.1,100.1,100.3,100.6,100.6,100.5,100.5,100.4,101.2,100.8,100.8,100.9,100.7,101,101.3,100.7,100.5,100,100,99.6,99.9,99.8,100,99.9,98.4,98.8,99.8,99.7,99.7,99.7,99.8,100.1,99.9,100.2,100.2,100.3,100.5,100.4,99.6,100.4,
Yantai,100.4,100.5,100.1,100.2,100.2,100.3,99.7,100.1,99.8,99.9,99.8,99.8,99.9,99.8,99.5,99.4,99.3,99.1,99.2,99.1,98.4,99.2,99.6,100,100.2,100.3,100.3,100.4,100.7,100.6,100.7,100.8,101.1,100.7,100.5,100.3,100.8,101.4,100.8,100,100.3,99.9,100.2,100,99.8,99.8,100.2,99.9,99.8,99.8,99.8,99.6,99.8,99.7,99.8,100,99.7,100.1,99.7,100,100.6,100.8,100.6,100.7,
Jining,100.1,100.2,100.2,99.9,99.8,99.8,99.7,100.1,99.5,99.4,99.9,99.6,99.7,99.6,99.7,99.8,99.7,99.6,99.5,99.2,99.1,99.6,99.7,100.1,100,100,99.9,100,100.8,100.3,101.3,100.2,101.2,100.6,101.2,100.4,100.8,101.2,101,100.3,100,100.3,99.9,100.1,100.3,100.2,100,99.9,100,100,99.8,99.8,99.8,99.8,100,100,100,99.8,99.9,100.2,100.3,100.1,100.3,100.9,
Zhengzhou,101.3,101.5,100.4,100.3,100.4,100.2,100.6,100.4,100.6,100.4,100.5,100,99.8,100.2,99.8,99.7,100,99.8,100,99.1,99.5,100,100,100.3,100.1,100.5,100.4,100.6,100.1,100.1,100,100.2,100.8,101.7,101,100.9,101.5,101.8,101.6,101.3,100.4,100.2,100.2,100.1,100.2,100.3,100,100,99.9,99.8,99.9,99.7,99.5,99.7,100,100.2,100.3,100,100.3,100.2,100.5,99.8,101.4,101.2,
Luoyang,100.6,100.2,99.9,99.9,99.8,99.8,99.9,99.9,100,99.9,100,99.9,99.6,99.8,99.4,99.4,99.3,99.6,99.4,99.2,99,99.2,98.8,100.1,100,100.2,100.5,100.6,100.3,100.7,100.5,101,100.6,101.1,100.6,100.7,100.9,100.4,101.3,100.2,100.2,100.2,100,99.9,99.9,100.1,99.9,99.9,99.9,99.8,100,99.9,99.7,100,100.1,100.3,100.3,100.1,100.2,100.2,100.5,100.3,101.1,102.1,
Pingdingshan,100.1,100.3,100,100.1,100.2,99.9,100,100.4,100.1,100,99.9,99.7,99.8,99.8,99.7,99.4,99.5,99.3,99.4,99.4,99.3,98.8,99.4,100,100.1,100.2,100.2,100.7,100.3,100.4,100.4,101.3,101.2,100.7,100.8,100.7,100.7,101.4,101.1,99.9,100.3,99.8,100.2,100,100.2,100,99.9,99.8,99.9,99.9,99.9,100,99.9,100.1,100.1,100.2,100.2,100.1,100.2,100.1,99.6,99.3,101,101.2,
Wuhan,102,101.2,100.8,100.9,100.7,100.6,100.3,100.6,100.7,100.4,100.3,100.1,100.3,100.2,100,99.9,100,99.7,99.6,99.2,98.4,98.3,99.6,100,100.1,100.4,100.3,100.5,100.3,100.5,100.9,100.5,101,100.8,100.8,100.9,101.1,100.9,101.2,101.1,100.7,100.5,100.2,99.9,100.1,100.1,100.1,99.8,100,99.8,99.8,99.9,99.7,99.9,99.8,100,100.2,100.1,100.2,100.2,100.4,100.4,100.5,101,
Yichang,100.3,100.2,100.2,100,99.6,100.4,99.9,100.3,100.1,99.7,99.6,99.8,99.5,99.7,99.9,99.8,99.4,99.1,99.5,99.3,99.1,99,99.2,99.9,100,99.9,100.2,100.1,100.6,100.5,100.4,100.8,101.3,100.5,100.6,101.1,101.2,101.2,100.7,100.6,100.4,100.3,100.1,100.2,100.4,100,100,99.8,99.6,99.8,99.8,100,100,99.7,99.6,100,100.4,100.4,100.2,100.6,100.6,100.7,100.1,100.1,
Xiangfan,100.1,100.1,100.2,99.9,100,99.8,99.4,99.8,99.5,99.7,99.6,99.9,99.5,99.8,99.1,99.7,99.6,99.3,99.4,99.2,98.9,98.8,99.1,99.6,100.2,100.3,100.3,100.4,100.2,100.6,100.5,100.4,100.7,100,100.8,101.2,101.4,101.3,100.7,100.6,100.4,100.4,100.2,100.2,100,99.9,99.9,99.7,99.8,99.3,99.9,99.9,99.8,99.7,100,100,100,100,100.3,100.3,100.3,100.6,100.9,100.6,
Changsha,101.6,100.5,100.3,100.4,100.5,100,100,100.2,99.9,100.1,100,99.8,100,100,99.6,99.7,99.3,99.1,98.7,99,98.4,98.6,99.1,99.6,100.2,100.3,100.4,100.5,100.5,100.6,101,100.6,101,101,100.8,101.1,101.2,101.6,101.3,100.9,100.1,100.6,100.2,100.1,100.2,100.1,100,99.9,100,100,99.8,99.6,99.5,99.7,100,100.3,100.3,100.1,100.4,100.5,100.5,100.5,100.9,101.8,
Yueyang,100.5,100.3,100.1,100.1,100,100,99.4,99.8,99.8,99.8,99.7,99.8,99.8,100,99.6,99.8,99.7,99.5,99.6,99.4,99.2,99.5,100,100.1,100.1,100.3,100.2,100.3,100,100.1,100.2,101,100.5,100.2,101.2,101,100.9,101.1,100.4,100.2,100,100,100.1,99.9,100,100,100,100,99.8,100,100,99.9,99.7,99.7,99.9,99.9,100.1,100.4,100.1,99.9,99.8,99.1,99.4,102.2,
Changde,100.1,99.9,100.3,99.9,99.4,100.2,99.9,100.1,99.9,99.8,99.7,99.7,99.4,100,99.3,99.2,99.8,99.7,99.4,99.3,99,99,99.5,99.6,100.2,100.3,100.5,100.7,100.4,100.5,100.3,100.4,101.1,100.4,100.6,99.9,100.7,101,100.8,100,100.9,100.1,100,100,100.1,99.8,100.1,99.9,100,100,100,99.6,99.7,99.8,99.9,99.8,100.1,100.2,100.2,100.3,100.5,100.1,100.5,101.7,
Guangzhou,102.4,102.9,101.6,100.8,100.7,100.6,100.8,101.4,100.9,101.2,101.5,101.4,100.4,99.9,99.8,100,99.8,99.6,98.8,98.6,98.7,98.7,99.4,100,100.1,100.4,100.5,100.7,100.7,100.8,100.9,101.3,101.7,101,101,101.5,102.1,102.5,103.1,102,101.2,100.6,100.4,100.4,100.3,100.2,100.2,99.9,99.8,99.8,99.8,99.7,99.6,99.7,99.8,100,100,100,100.2,100.3,100.7,100.3,100.6,101.7,
Shaoguan,100.6,101.1,100.9,99.3,100.2,100.5,100,99.6,99.7,99.6,99.8,99.7,99.5,99.6,99.4,99.3,99.4,99.3,98.8,99,98.7,98.4,99.3,99.5,100.1,99.9,100,99.8,99.8,100,100.7,100.4,100.5,100.8,99.9,101.4,100.7,100.4,101.1,100,100.2,100.5,100.2,100.4,100,100.1,99.9,99.9,100,100.2,100,100,100,100,100.2,100,99.9,100.4,100.1,100.6,100.7,100.1,100.5,101.9,
Shenzhen,102.3,103.7,103.5,104,103.2,102.9,101.2,104,105.1,106.2,107.1,106.6,101.8,100.7,100.2,100.3,101.2,100,99.6,99.2,98.9,99.4,99.6,99.8,100.2,100.2,100.2,100.4,100.5,100.9,100.9,101.4,101.4,100.8,101.6,101.9,101.8,102.7,102.2,102.2,101,100.6,100.4,100.1,100.1,100,99.9,99.7,99.6,99.7,99.8,99.8,99.5,99.7,99.9,100,100,100,100.1,100.4,100.7,100,101,102,
Zhanjiang,100.4,100.3,100,99.9,99.7,100,99.8,100,99.6,99.4,99.7,99.6,99.5,99.4,98.7,99.6,99.1,99,98.9,98.7,98.4,99.3,100.1,100.1,100,100.4,100.4,100.5,100,100.8,100.6,101.2,100.9,100.7,100.8,101,100.6,100.6,101.1,100.8,100.4,100.5,100.3,100,100,100.3,100.4,100,100,100,99.9,100,100,100,100.1,100.1,100,100,100.1,100.3,100.3,100.8,100.9,100.9,
Huizhou,103.3,101.1,100.7,100.6,99.9,100.2,100.2,100.6,100.4,99.8,99.6,99.6,99.3,99.1,99.2,99.7,99.4,99.5,98.9,98.8,98.3,99.2,99.7,99.9,99.5,100.4,100.5,100.6,100.7,100.9,100.8,100.7,100.8,100.6,100.9,100.7,100.6,100.7,100.7,100,100.3,100.2,100.3,99.8,99.9,100.2,100.1,100,99.8,99.9,99.8,99.9,99.9,100,100.1,100,100,100,100.1,100.5,100.4,100.4,100.5,100.9,
Nanning,101.1,100.7,100.4,100.6,100.3,100.4,100.5,100.1,100.4,100,100.4,100,100.3,100.2,99.5,99.7,99.5,99.7,99.5,98.7,98.9,98.8,99.3,100.1,100.1,100.3,100.4,100.5,100.5,100.2,100.9,100.5,100.8,101.1,100.8,101.5,100.7,101.6,101.2,99.8,99.9,100.1,100.3,100.2,100,100.2,100.1,100,100,99.7,99.6,99.6,99.8,100,100,99.9,100,99.9,99.8,100,100.5,100.8,99.9,101.3,
Guilin,100.5,100.1,100,99.7,99.7,99.9,100,99.6,100,99.9,100,99.8,99.8,99.6,99.2,99.6,99.2,98.7,99,98.2,98.7,98.7,99.1,100.1,100,100.2,100.2,100.5,100.4,101.3,101.2,99.9,101,101.9,101.6,102.8,100.6,100.7,100,99.9,99.9,99.9,100,99.9,100.2,100,100.1,100,100,99.8,99.9,100,99.8,99.8,100.1,100.2,100,100.2,99.9,100.2,100,100.8,100.5,102.1,
