"","City","Apr2011","Apr2012","Apr2013","Apr2014","Apr2015","Apr2016","Aug2011","Aug2012","Aug2013","Aug2014","Aug2015","Dec2010","Dec2011","Dec2012","Dec2013","Dec2014","Dec2015","Feb2011","Feb2012","Feb2013","Feb2014","Feb2015","Feb2016","Jan2011","Jan2012","Jan2013","Jan2014","Jan2015","Jan2016","Jul2011","Jul2012","Jul2013","Jul2014","Jul2015","Jun2011","Jun2012","Jun2013","Jun2014","Jun2015","Mar2011","Mar2012","Mar2013","Mar2014","Mar2015","Mar2016","May2011","May2012","May2013","May2014","May2015","Nov2011","Nov2012","Nov2013","Nov2014","Nov2015","Oct2011","Oct2012","Oct2013","Oct2014","Oct2015","Sep2011","Sep2012","Sep2013","Sep2014","Sep2015","long","lat"
"11","Dali",100,100.801701,101.505792331402,106.267942523259,100.965328812084,100.054958182023,100.5,100.600097799503,104.169500965289,105.30929824481,100.360646852036,100,100.701,100.499095703712,105.949880980556,102.597368733401,100.059464851915,100,100.701,100.398596608009,106.161780742517,101.676044362175,100.559161819386,100,100.701,100.398596608009,106.161780742517,102.186979258468,100.659821641027,100.5,100.700798598101,103.138119767613,106.480584676248,100.662634756305,100,100.600198399701,102.829630874988,106.374210465783,100.763398154459,100,100.801701,101.101386784265,106.161780742517,101.472692273451,99.8552476866499,100,100.700899299,102.216332877722,106.374210465783,100.763398154459,100.701,100.2984987063,105.844036943612,103.216668745876,100.159624476391,100.701,100.398897603904,104.899937506058,103.839706987803,100.159624476391,100.701,100.600097799503,104.482009468185,104.782751753586,100.461007498888,100.267638,25.606486
"12","Dalian",101.6084144,101.606790499494,107.433507504743,114.963617578349,105.223341166571,105.320355758011,102.116454438206,102.524100263594,111.240655461561,111.653585101033,105.8555230003,100,102.014337983768,103.243616450546,113.707933024024,106.496939996603,104.589697153998,100.4,101.912323645784,104.901192712659,114.391203993565,105.434526523197,104.275928062536,100,101.912323645784,103.759834532798,114.049056823096,105.857958356624,104.589697153998,102.321096631469,102.319461340912,110.797465599165,113.46909054983,105.8555230003,102.218877753715,102.115230879153,110.02727467643,114.963617578349,105.644234531237,101.0024,101.708498998492,105.950204639786,114.848768809539,105.118222943628,104.484479918661,102.0148480576,101.708397289993,108.830143102304,114.963617578349,105.223341166571,102.116454438206,103.03754136781,112.917510450868,107.572666663236,104.694391545544,102.116454438206,102.831877612585,112.467639891302,109.100067609772,104.79919073628,102.116454438206,102.626624363857,111.908099394331,110.537049250023,105.537956431299,121.614682,38.914003
"13","Dandong",101.709621216,101.20097576578,104.370773712238,111.132298814189,100.701163059624,97.617369379877,102.014648064898,100.896058743812,107.964722556798,109.033872076228,99.5975728739036,100,101.302278043824,101.198342125056,110.578961689893,103.785251686364,98.3066860427505,100.701,101.20097576578,102.517563712998,111.021277536653,101.409814845766,97.4233021619703,100.5,101.302278043824,101.603135493556,111.021277536653,102.124687659382,98.110072670665,102.116764829728,101.403074114384,107.107859679363,109.913177496198,100.098063189853,102.116764829728,101.099774790014,106.047385821152,110.465505021304,100.198261451304,101.506608,101.20097576578,103.645256913841,111.132298814189,101.105585401229,97.2284555576464,102.014750079648,101.099774790014,105.205739901936,111.132298814189,100.499760733505,101.505288621066,100.895655159577,109.919445019774,104.411722018474,99.1994813751266,101.606895516583,100.895655159577,109.481518943999,105.78695239967,99.1994813751266,101.708604120703,100.694266626325,108.720475614696,107.180296250932,99.4979753010297,124.354451,40.000787
"14","Fuzhou",103.0297171575,102.207846834923,110.113613045494,119.940124830752,110.44518522408,122.687795471902,102.926584513655,103.02560752472,114.456042354868,115.790361100644,111.219848636803,100,102.823555105483,104.262839778921,118.159683378279,111.894559367881,114.024113847883,102.2105,102.412672179282,106.988687462101,119.581380688686,110.555740965045,116.892276407613,100.7,102.617907995273,105.096942497152,119.104960845305,111.335086571042,115.27837910021,102.823760752902,102.717455159242,113.886609308326,117.196721761786,111.108739896906,102.823760752902,102.003431141254,113.20736511762,118.98144341298,110.886965964976,102.5171315,102.207846834923,108.379540399108,119.940124830752,110.555740965045,119.230121935765,102.926687440343,102.003431141254,110.554067497676,119.820184705922,110.44518522408,102.926481587071,103.12842708103,117.571824256994,112.118796961805,112.895162225627,103.029511098169,102.922581917195,116.06300518953,112.569073254824,111.888168707261,103.029511098169,103.02560752472,115.600602778416,113.706134600833,111.553508182713,119.296494,26.074508
"15","Ganzhou",99.990708818,99.2922732153541,103.52415595304,109.244566387227,102.435595230945,104.380049247536,99.4913552181629,99.0937879611966,105.606766069791,105.68060596844,102.739622859836,100,99.4912557268077,99.2910834956325,108.485500182892,102.538851751505,101.814775546344,101.101,99.2922732153541,101.386919686058,109.463822423542,102.846673384463,102.222340092856,101,99.4912557268077,100.184703247093,109.13641318399,102.743929455008,102.120219872983,99.790727400364,99.1929809421387,104.872657467519,106.964176081417,102.02544474661,99.790727400364,99.1929809421387,103.834314324276,108.153868636417,101.821801144321,100.191091,99.2922732153541,103.009110401035,109.573286245965,102.538133364309,103.142341153692,99.790727400364,99.2922732153541,103.938252576853,109.026077254453,102.025852850021,99.4912557268077,98.8955014896738,108.268962258376,102.538851751505,101.409138990382,99.590846573381,98.7967047848889,107.409684780135,103.157798542761,101.612363717818,99.590846573381,98.8956003852742,106.451620198349,103.989716272945,102.020445499817,114.93503,25.831829
"16","Guangzhou",103.3354505142,101.997566888957,115.890020487151,128.774454615317,120.865927904697,141.930285495759,103.852747779474,102.610469859179,122.032576965233,124.695393188079,127.022181327167,100,102.920770728435,105.302236478178,126.609530010025,120.746388014592,131.524150343706,102.3102,102.406784399417,110.737937925181,128.133275703695,120.504895238563,134.697565043199,101.7,102.61200841625,107.408281207742,127.495796720095,120.746388014592,132.576343546456,103.852747779474,102.303559181634,119.992701047426,126.337784385086,125.889178718699,103.852747779474,102.099360460712,118.804654502402,128.001807887625,124.396421658794,102.6171306,102.201970830618,113.506386373311,128.64580880651,120.384390343324,138.603794429452,103.645456865743,101.895569322068,117.628370794458,128.774454615317,122.558050895363,103.334107157063,104.053593357883,125.729424041732,120.98836474408,130.609881175478,103.645042283915,103.43299538557,124.731571469973,121.474261791245,129.830895800674,103.852747779474,103.020911738615,123.619000465781,122.949657683446,128.800491865748,113.264385,23.12911
"17","Guilin",103.431384,103.326609358816,104.569102734445,116.620909924256,105.354929407967,104.512003307699,103.741677738274,103.636795840111,112.405034157096,112.698584922126,105.039075329602,100,103.637314026266,103.326196259341,115.577932351161,107.273875357781,104.200757208927,102.6105,103.53367671224,103.222870063082,116.388133656942,105.990021617499,103.888154937301,102.1,103.637314026266,103.222870063082,116.155822012916,106.84477985635,103.888154937301,103.741677738274,103.429935968174,111.292113026828,114.182963446936,105.039075329602,103.534608521232,103.429935968174,109.216990212785,115.686893056673,105.144219549151,103.431384,103.326609358816,103.945430153523,116.620909924256,105.566061531029,103.992043092238,103.638246768,103.326609358816,107.497037611009,116.73753083418,105.144219549151,103.845004034335,103.429625885226,115.117462501156,108.138987255828,104.514300109255,104.053110254845,103.533159044271,113.640140672415,109.563310289592,104.618919028283,103.949161093751,103.533159044271,112.292629122939,110.670010393528,104.618919028283,110.179954,25.234479
"18","Guiyang",101.913037236,103.039291376861,107.016826909571,111.927039976347,107.304131959984,109.028499129152,102.321199153956,103.348718471905,108.30412782576,110.470661025241,107.733239465539,100,103.039291376861,103.970051794148,110.925489404424,108.059682237706,107.195112472428,100.8012,103.039291376861,105.116633525334,111.480782404383,107.304561178229,107.839247903275,100.2,103.039291376861,104.385932001325,111.147340383233,107.735503190993,107.516697809845,102.218980173782,103.245472998906,108.30412782576,111.925695061035,107.4110064462,102.014950273236,103.142330668238,107.65817875324,112.375195844413,107.19661321976,101.4060072,103.039291376861,105.852449960011,111.592263186787,107.519170300586,108.270604894888,102.014950273236,103.142330668238,107.765944697938,112.1508940563,107.089523696064,102.936355021839,103.762526740667,110.593708279585,108.493656865167,107.409932337102,102.730893235369,103.762526740667,110.153095896001,108.929374362617,107.517449786889,102.525841552264,103.555415908849,109.170560848366,109.80783705909,107.840972705004,106.630154,26.647661
"19","Haikou",100.600299,99.1009178128462,99.3959368018118,101.803397768304,95.3753206824825,96.620255750625,100.198300205196,99.001519691579,99.8935128614417,99.6813593356696,95.4697430129607,100,99.4986137720932,99.1982367012214,101.499913028349,96.8204747064073,95.6602998562566,100.701,99.200117930777,99.0984432751,102.007412593491,95.758354098878,95.9474720764251,100.5,99.200117930777,98.9006419911177,102.007412593491,96.3363723328752,95.7559601561129,100.399098402,98.9026170745045,99.8935128614417,100.182270689115,95.0893854710764,100.600299,98.8038132612433,99.6941246122172,100.990192226931,95.0893854710764,100.600299,99.200117930777,99.2966401616502,101.803397768304,95.758354098878,96.2353144926544,100.600299,98.9027159772205,99.6941246122172,101.599790972767,95.1845700411175,99.6980097916766,99.3970307627469,101.196324056181,97.5029956761402,95.4693611339887,99.9980038030858,98.9025181718875,100.592767451472,97.7963848306321,95.6606824989866,100.098101904991,98.9025181718875,99.8935128614417,98.6845457423129,95.6606824989866,110.198293,20.044002
"20","Hangzhou",102.4126975872,92.7009516765305,97.618861069453,103.00354908547,92.7497318573238,106.146395348626,102.310284889613,93.2546344074538,101.180371212361,95.4901367144047,95.7517417562896,100,100.783289061238,93.4400229445902,103.833490172418,93.3102375096984,98.5579769631509,102.4128,100.38045825486,95.1295119994514,103.729656682246,92.7512158767778,100.737783739645,101.6,100.682505772177,94.2809831510915,103.729656682246,93.0303067971693,99.4449987558193,102.310284889613,92.975707285597,100.079496748132,97.4389150146987,95.180657809433,102.4126975872,92.6976144422702,99.3838100775887,99.8349539085028,94.4252557633263,102.3103872,95.9637180916465,96.2710661434448,103.729656682246,92.3802110132707,103.054752765657,102.4126975872,92.1447459664713,98.3998119580086,101.561499398273,93.2134805166104,101.493745278185,93.1605413206283,103.729760412006,93.5910105413224,97.4856349783887,101.799142706304,93.2537951157441,103.213691952245,93.9668780535365,96.9042097200683,102.207974604723,93.5343983106761,102.39453566691,94.3442550738319,96.3262522068273,120.15507,30.274085
